31 December 2010,"Due between Due between
Due on Due within 3 and 12 1 and 5 Due after
Demand 3 moths months years 5 years Total
KShs ‘000 KShs ‘000 KShs ‘000 KShs ‘000 KShs ‘000 KShs ‘000"
"Financial assets
Cash balances
Placements with other banks
Investment in Government securities
Net mortgage advances to customers
Total
Financial liabilities
Customer deposits
Loans from Banks
Corporate Bond
Government income notes
Total
Unrecognised mortgage commitments
At 31 December 2010","420,390 - - - - 420,390
- 6,599,080 1,267,186 - - 7,866,266
- - 9,835 530,000 - 539,835
- 324,479 1,069,660 2,295,392 15,813,869 19,503,400"
,"420,390 6,923,559 2,346,681 2,825,392 15,813,869 28,329,891"
,"- 6,199,573 2,744,267 4,591,549 2,407,952 15,943,341
- 78,858 646,771 847,740 - 1,573,369
- - - - 7,030,900 7,030,900
- - - - 50,750 50,750"
,"- 6,278,431 3,391,038 5,439,289 9,489,602 24,598,360"
,"- 2,384,128 4,201,757 - - 6,585,885"
,"420,390 (1,739,000) (5,246,114) (2,613,897) 6,324,267 (2,854,354)"
