New standard or amendments,"Effective for annual periods beginning
on or after"
"Sale or Contribution of Assets between an
Investor and its Associate or Joint Venture
(Amendments to IFRS 10 and IAS 28)",1 January 2016
"Accounting for Acquisitions of Interests in Joint
Operations (Amendments to IFRS 11)",1 January 2016
"Amendments to IAS 41 – Bearer Plants
(Amendments to IAS 16 and IAS 41)",1 January 2016
"Amendments to IAS 16 and IAS 38 –
Clarification of Acceptable Methods of
Depreciations and Amortisation",1 January 2016
"Equity Method in Separate Financial Statements
(Amendments to IAS 27)",1 January 2016
IFRS 14 Regulatory Deferral Accounts,1 January 2016
"Investment Entities: Applying the Consolidation
Exception (Amendments to IFRS 10, IFRS 12 and
IAS 28)",1 January 2016
Disclosure Initiative (Amendments to IAS 1),1 January 2016
IFRS 15 Revenue from Contracts with Customers,1 January 2018
IFRS 9 Financial Instruments (2014),1 January 2018
IFRS 16 Leases,1 January 2019
