US$,GBP,Euro,Total
Shs’ 000,Shs’ 000,Shs’ 000,Shs’ 000
"(44,847)","40,062","98,102","93,317"
"1,428,412","30,805",1,"1,459,218"
"1,945,701",-,-,"1,945,701"
"30,749",139,434,"31,322"
"3,360,015","71,006","98,537","3,529,558"
"2,131,124","13,612","5,793","2,150,529"
"892,287",-,-,"892,287"
"393,552","56,697","91,687","541,936"
"3,416,963","70,309","97,480","3,584,752"
"(56,948)",697,"1,057","(55,194)"
