Column,Level 1,Level 2,Level 3
"Fair value
determined using:","Unadjusted quoted
prices in an active
market for identical
assets and liabilities","Valuation techniques that
maximise the use of
observable market data and
rely as little as possible on
entity-specific estimates.","Valuation models
using significant
unobservable market
data"
"Types of financial
assets:","Actively traded
government and
other securities.","Corporate and other
government bonds and loans","Corporate bonds in
illiquid markets"
"Types of financial
liabilities:","Actively traded
corporate bonds in
liquid markets.","Leases whose valuation model
references directly or indirectly
market observable inputs.","Actively traded
corporate bonds in
illiquid markets."
