III. DISCLOSURES GROUP COMPANY,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
,30.09.2009,31.12.2009,31.03.2010,30.06.2010,30.09.2010,30.09.2009,31.12.2009,31.03.2010,30.06.2010,30.09.2010
,UnAudited,Audited,UnAudited,UnAudited,UnAudited,UnAudited,Audited,UnAudited,UnAudited,UnAudited
,(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000)
,"1,820,785","1,815,135","1,912,024","1,799,245","1,600,248","1,820,785","1,815,135","1,912,024","1,799,245","1,600,248"
,"568,508","555,353","524,524","493,565","407,794","568,508","555,353","524,524","493,565","407,794"
,"1,252,277","1,259,782","1,387,500","1,305,680","1,192,454","1,252,277","1,259,782","1,387,500","1,305,680","1,192,454"
,"450,319","505,430","512,254","534,047","494,205","450,319","505,430","512,254","534,047","494,205"
,"801,958","754,352","875,246","771,633","698,249","801,958","754,352","875,246","771,633","698,249"
,"801,958","754,352","875,246","771,633","698,249","801,958","754,352","875,246","771,633","698,249"
,-,-,-,-,-,,-,,,
,-,-,,,,-,-,,,
,"280,960","318,845","330,483","351,214","401,352","280,960","318,845","330,483","351,214","401,352"
,"280,960","318,845","330,483","351,214","401,352","280,960","318,845","330,483","351,214","401,352"
,"1,033","1,033","1,033","1,033","1,033","1,033","1,033","1,033","1,033","1,033"
,-,-,-,-,-,-,-,,,
,"1,033","1,033","1,033","1,033","1,033","1,033","1,033","1,033","1,033","1,033"
,,,,,,"2,846,936","2,884,244","2,909,064","2,852,974","2,966,847"
,,,,,,"250,000","250,000","350,000","350,000","350,000"
,,,,,,"2,596,936","2,634,244","2,559,064","2,502,974","2,616,847"
,,,,,,"204,160","279,054","287,895","298,707","310,379"
,,,,,,"3,051,096","3,163,298","3,196,959","3,151,681","3,277,226"
,,,,,,"8,404,439","9,280,302","9,987,519","10,852,487","11,786,248"
,,,,,,23.41%,23.57%,21.36%,17.39%,16.01%
,,,,,,8.00%,8.00%,8.00%,8.00%,8.00%
,,,,,,15.41%,15.57%,13.36%,9.39%,8.01%
,,,,,,33.87%,31.08%,29.13%,26.29%,25.17%
,,,,,,8.00%,8.00%,8.00%,8.00%,8.00%
,,,,,,25.87%,23.08%,21.13%,18.29%,17.17%
,,,,,,36.30%,34.09%,32.01%,29.04%,27.81%
,,,,,,12.00%,12.00%,12.00%,12.00%,12.00%
,,,,,,24.30%,22.09%,20.01%,17.04%,15.81%
,,,,,,25.77%,23.89%,28.71%,35.26%,30.70%
,,,,,,20.00%,20.00%,20.00%,20.00%,20.00%
,,,,,,5.77%,3.89%,8.71%,15.26%,10.70%
