II,"STATEMENT OF COMPREHENSIVE
INCOME",BANK,Column,Column,Column,GROUP,Column,Column,Column,Column
,,30.09.2024 31.12.,2024 31.03.20,25 30.06.2025,30.09.2025,30.09.2024,31.12.2024,31.03.2025,30.06.2025,30.09.2025
,,UnAudited Audi,ted UnAudite,d UnAudited,UnAudited,UnAudited,Audited,UnAudited,UnAudited,UnAudited
,,(Ksh'000) (Ksh',000) (Ksh'000,) (Ksh'000),(Ksh'000),(Ksh'000),(Ksh'000),(Ksh'000),(Ksh'000),(Ksh'000)
,,,,,,"3,521,513 4,765,730 1,187,528 2,331,583
1,106,166 1,583,102 595,966 1,270,763
44,869 57,775 11,108 35,848
- - - -",,,,
,,,,,"3,604,329",,,,,"3,481,463"
,,,,,"2,043,275",,,,,"2,043,275"
,,,,,"52,561",,,,,"52,561"
,,,,,-,,,,,-
,,,,,"5,700,165","4,672,549 6,406,607 1,794,602 3,638,193",,,,"5,577,300"
,,,,,,"2,109,772 2,937,070 699,033 1,390,606
324,447 447,643 31,221 46,530
278,762 359,359 74,598 157,575",,,,
,,,,,"2,086,990",,,,,"2,079,921"
,,,,,"50,503",,,,,"50,503"
,,,,,"246,238",,,,,"246,238"
,,,,,"2,383,730","2,712,981 3,744,072 804,852 1,594,711",,,,"2,376,661"
,,,,,"3,316,435","1,959,567 2,662,535 989,750 2,043,482",,,,"3,200,638"
,,,,,,"170,490 217,999 51,379 104,287
246,968 346,167 94,275 248,671
139,576 191,127 34,521 59,639
- - - -
450,003 751,467 244,779 431,709",,,,
,,,,,"166,541",,,,,"166,541"
,,,,,"208,901",,,,,"208,901"
,,,,,"86,975",,,,,"86,975"
,,,,,-,,,,,-
,,,,,"150,026",,,,,"832,920"
,,,,,"612,443","1,007,036 1,506,760 424,954 844,306",,,,"1,295,337"
,,,,,"3,928,878","2,966,604 4,169,295 1,414,704 2,887,789",,,,"4,495,975"
,,,,,,"248,807 364,460 100,430 210,643
1,370,955 1,894,275 511,220 1,046,130
30,206 42,851 11,514 19,726
46,820 61,776 13,882 36,774
122,498 161,748 38,951 77,874
62,342 76,771 15,147 31,185
772,721 1,130,664 387,044 762,569",,,,
,,,,,"300,297",,,,,"300,297"
,,,,,"1,408,753",,,,,"1,637,830"
,,,,,"13,960",,,,,"27,172"
,,,,,"45,757",,,,,"45,757"
,,,,,"107,231",,,,,"112,864"
,,,,,"48,238",,,,,"48,490"
,,,,,"1,102,001",,,,,"1,184,190"
,,,,,"3,026,236","2,654,349 3,732,545 1,078,188 2,184,901",,,,"3,356,600"
,,,,,"902,642","312,255 436,750 336,516 702,887",,,,"1,139,374"
,,,,,(131),"- 23,243 - (237)",,,,-
,,,,,"902,511","312,255 459,993 336,516 702,650",,,,"1,139,374"
,,,,,"(9,688)","(23,919) (31,955) (8,581) (17,179)
195,137 96,647 - (61,132)",,,,"(30,261)"
,,,,,"(120,417)",,,,,"(120,417)"
,,,,,"772,407","483,473 524,685 327,935 624,338",,,,"988,697"
,,,,,,"- - - -
52,552 687,796 296,429 638,551
- - - -
- - - -
(15,765) (206,339) (88,929) (191,565)",,,,
,,,,,-,,,,,-
,,,,,"1,096,399",,,,,"1,096,399"
,,,,,-,,,,,-
,,,,,-,,,,,-
,,,,,"(328,920)",,,,,"(328,920)"
,,,,,"767,479","36,786 481,457 207,500 446,986",,,,"767,479"
,,,,,"1,539,886","520,259 1,006,143 535,435 1,071,324",,,,"1,756,176"
,,,,,95.18,1.68 0.90 0.70 0.66,,,,0.70
