Profit After Tax,Ksh. 266 M,Ksh. 388 M,46%
Total Interest Income,Ksh. 4.27 B,Ksh. 5.20 B,22%
Non Funded Income,Ksh. 0.88 B,Ksh. 1.24 B,41%
Interest on Government Securities,Ksh. 0.94 B,Ksh. 1.15 B,22%
Total Operating Income,Ksh. 3.04 B,Ksh. 3.79 B,25%
Total Assets,Ksh. 56.99 B,Ksh. 61.55 B,8%
