Column,2000,1999
,KSHs'OOO,KSHs'OOO
Faida kabla,,
ya ushuru,"2,514,529","2,442,323"
Housing FinanceCompany,,
of Kenya Limited,"217,295","108,571"
Kenya Building,,
Society Limited,"(140,100)","5,313"
Firstpermanent,,
(EastAfrica) Limited,"1,423",433
Faida ya kundi,,
kabla ya ushuru,"78,618","114,317"
Ushuru,"(26,395)","(43,631)"
Faida baada ya ushuru,"52,223","70,686"
Faida iliyobakishwa,,
na kuletwa mbele,"445,140","386,824"
,"497,363","457,510"
Mgawo wa faida,,
ya muda,,"(28,750)"
Mgawo wa faida,,
unaopendekezwa,"(43,125)","(28,750)"
Uhamishaji wa,,
thamani wa ziada,,"2,128"
Kiasi cha kijumla,,
kilichotengwa kwa mkopo,,
wa rehani [rnolipo] /,,
yaliyopatikana,"(7,367)","43,002"
Faida iliyobakishwa,,
na kupelekwa mbele,"446,871","445,140"
,,•
