Board meetings attendance for the year ended 31 December 2013,Board meetings,Column,Column,Column,Column,"Total
attendance"
,22/1,19/2,23/4,16/7,26/10,
Steve Mainda,√,√,√,√,√,5
David R. Ansell,X,√,√,√,√,4
Benson Wairegi,√,√,√,√,√,5
Peter Munga,X,√,√,√,√,4
Shem Migot - Adholla,√,√,√,√,√,5
Adan D Mohamed,√,√,√,√,√,5
Frank Ireri,√,√,√,√,√,5
