Impairment on loan and advances to customers in the consolidated financial statements,Column
"See accounting policy note 3(i)(iv) - Significant accounting policies and disclosure Note 18 – Loans and advances to
customers.",
The key audit matter,How the matter was addressed in our audit
"Impairment of loans and advances to customers is
considered a key audit matter because the directors make
complex and subjective judgments over both timing of
recognition of impairment and the estimation of the size
of any such impairment.","Our audit procedures in this area included, among others:
• Involving our own IFRS 9 and data analytics specialists in
evaluating the appropriateness of the Group’s impairment
methodologies and independently assessing the accuracy of
PD, LGD and EAD computations and assumptions."
