Column,"980,589
(297,128)",Column
NET INTEREST INCOME,"683,461","674,315"
,"(74,792)",
"NET INTEREST INCOME AFTER IMPAIRMENT
LOSSES ON MORTGAGE ADVANCES","608,669","570,031"
,"177,036
(672,308)",
PROFIT BEFORE TAXATION 6,"113,397","141,236"
,"(39,889)",
NET PROFIT AFTER TAX,"73,508","101,049"
,"KShs 0.64
KShs 0.25",
