Column,2020,Column,Column,Column
,"Stage 1
12-month ECL
Shs’ 000","Stage 2
Lifetime ECL
Shs’ 000","Stage 3
Lifetime ECL
Shs’ 000","Total
Shs’ 000"
,"26,351,198","3,719,574","12,316,003","42,386,775"
,"1,024,611","(576,987)","(447,624)",-
,"(1,900,044)","1,900,044",-,-
,"(103,691)","(129,412)","233,103",-
,"(1,843,644)","219,589","51,941","(1,572,114)"
,"1,763,479","1,799,297","197,970","3,760,746"
,"(2,019,324)","(373,813)","(1,552,546)","(3,945,683)"
,"(3,078,613)","2,838,718","(1,517,156)","(1,757,051)"
"Gross carrying amount
at end of year","23,272,585","6,558,292","10,798,847","40,629,724"
