"Directors Fees & Sitting
Allowances (Cash)",Policy framework
"To attract and retain Non-Executive Directors
of the highest calibre and having the necessary skills
and expertise to exercise independent judgement
on issues that promote the Company’s objectives.","The Directors’ fees and sitting allowances paid to Non-
Executive Directors are determined by the Board of Directors,
with recommendations from the Group Nomination and
Governance committee."
,"Members of the various committees are also eligible to receive
an additional sitting allowance fee."
,"The fees payable are reviewed periodically by the Group
Nomination and Governance committee to ensure that the fees
remain competitive and in line with remuneration of other Non-
Executive directors in the same industry. Time commitment and
responsibility are also taken into account when reviewing fees."
,"Travel and expenses for Non-Executive Directors (including the
Chairman) for company related assignments are all met by the
Company."
