Column,Column,GRO,UP COMPANY,Column,Column,Column,Column
III,DISCLOSURES 30.09.2010 31.12.2010 31.03.,,2011 30.06.2011 30.09.2011 30.09.201,0 31.12.2010,31.03.2011,30.06.2011,30.09.2011
,UnAudited Audited Unau,,dited Unaudited Unaudited UnAudite,d Audited,Unaudited,Unaudited,Unaudited
,,(Ksh’000) (Ksh’000) (Ksh’,000) (Ksh’000) (Ksh’000) (Ksh’000,) (Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000)
,,,",893 1,642,327 1,570,293 1,600,24","8 1,467,815","1,674,893","1,642,327","1,570,293"
,,,",846 260,477 255,658 407,79","4 283,632","272,846","260,477","255,658"
,,,",047 1,381,850 1,314,635 1,192,45","4 1,184,183","1,402,047","1,381,850","1,314,635"
,,,",663 475,287 459,930 494,20","5 439,916","470,663","475,287","459,930"
,,,",384 906,563 854,705 698,24","9 744,267","931,384","906,563","854,705"
,,,",384 906,563 854,705 698,24","9 744,267","931,384","906,563","854,705"
,,,- - -,- -,-,-,-
,,,",908 494,513 568,391 401,35","2 459,860","480,908","494,513","568,391"
,,,",908 494,513 568,391 401,35","2 459,860","480,908","494,513","568,391"
,,,",033 1,033 1,033 1,03","3 1,033","1,033","1,033","1,033"
,,,- - -,- -,-,-,-
,,,",033 1,033 1,033 1,03","3 1,033","1,033","1,033","1,033"
,,,"2,966,84","7 3,186,337","3,280,473","3,273,448","3,411,624"
,,,"350,00","0 500,000","500,000","500,000","500,000"
,,,"2,616,84","7 2,686,337","2,780,473","2,773,448","2,911,624"
,,,"310,37","9 3,186,337","3,280,473","3,273,448","2,020,486"
,,,"3,277,22","6 6,372,674","6,560,946","6,546,896","5,432,110"
,,,"11,786,24","8 13,077,391","13,613,969","14,131,282","16,189,858"
,,,16.01,% 19.98%,19.73%,18.71%,18.29%
,,,8.00,% 8.00%,8.00%,8.00%,8.00%
,,,8.01,% 11.98%,11.73%,10.71%,10.29%
,,,25.17,% 24.37%,24.10%,23.16%,21.07%
,,,8.00,% 8.00%,8.00%,8.00%,8.00%
,,,17.17,% 16.37%,16.10%,15.16%,13.07%
,,,27.81,% 48.73%,48.19%,46.33%,33.55%
,,,12.00,% 12.00%,12.00%,12.00%,12.00%
,,,15.81,% 36.73%,36.19%,34.33%,21.55%
,,,30.70,% 55.73%,53.30%,46.40%,42.50%
,,,20.00,% 20.00%,20.00%,20.00%,20.00%
,,,10.70,% 35.73%,33.30%,26.40%,22.50%
