Board meetings,Column,Column,Column,Column,"Total
attendance"
Date,7/3/2022,05/05/2022,3/8/2022,4/11/2022,
Prof Olive M. Mugenda,,,,,4
Dr. Peter K. Munga,,,,,3
Dr. Benson I. Wairegi,,,,,4
Constance W. Gakonyo,,,,,4
Felister W. Kembi,,,,,4
Charles Kimani Njuguna,,,,,4
Dr. Anthony O. Omerikwa,,,,,3
* Anne W. Kimari,,,,,2
Robert N. Kibaara,,,,,4
