"Board meetings attendance for the year
ended 31 December 2019",Board meetings,Column,Column,Column,"Total
attendance"
Date,23-Mar,24-Apr,02-Aug,06-Nov,
Steve Mainda,X,ü,X,ü,2
Benson Wairegi,ü,ü,ü,ü,4
Peter Munga,X,ü,ü,ü,3
Adan Mohamed,ü,ü,ü,ü,4
Constance Gakonyo,ü,X,ü,ü,3
Kaushik Manek,ü,ü,ü,ü,4
Felister Kembi,ü,ü,ü,ü,4
Gladys Karuri,ü,ü,X,ü,3
Robert Kibaara,X,ü,ü,ü,3
