Column,"2020
Shs’000",Column
,"2,284,217",
,"202,435",
,"7,105,617",
,"201,509",
,"36,796,964",
,"1,635,079",
,"983,390",
,"324,251",
,"1,263,268",
,"514,422",
,"1,237,680",
,"543,174",
,"703,254",
,"344,930",
,"1,305,059",
Total Assets,"55,445,249","56,454,917"
,"39,944,490",
,"1,190,118",
,"1,410,654",
,"6,361",
,"3,628,227",
,"52,860",
,"650,751",
,"46,883,461",
,"1,923,071",
,"4,343,512",
,"3,653,888",
,"1,012,125",
,"13,972",
,"(2,384,780)",
,"8,561,788",
Total Liabilities and Shareholders’ Equity,"55,445,249","56,454,917"
