Column,Stage 1,Stage 2,Stage 3,Total
,"12-month
ECL","Lifetime
ECL Not
credit
impaired","Lifetime
ECL",
,Shs’000,Shs’000,Shs’000,Shs’000
,"102,970","299,976","3,028,743","3,431,689"
"Transfer to 12 months ECL
Transfer to lifetime ECL not credit
impaired
Transfer to lifetime ECL credit
impaired
Net remeasurement of loss allowance
Net financial assets originated
Financial assets derecognised","6,624","(3,401)","(3,223)",-
,"(13,076)","131,152","(118,076)",-
,"(2,711)","(42,603)","45,314",-
,"(8,864)","(269,907)","602,926","324,155"
,"46,622","20,398","25,116","92,136"
,"(6,970)","(3,900)","(197,401)","(208,271)"
,"124,595","131,715","3,383,399","3,639,709"
