Board meetings attendance for the year ended 31 December 2023,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
Date,03.03.23,11.05.23,15.05.23,01.08.23,23.08.23,15.09.23,16.10.23,24.11.23,11.12.23,Total
Prof. Olive M. Mugenda,,,,x,,x,,,,7
Dr. Benson I. Wairegi,,,,,,,,,,9
Ms. Felister W. Kembi,,,,,,,,,,9
Mr. Tom Gitogo**,x,x,x,,****,x,,,,5
Mr. Charles Njuguna K.*,,,x,x,x,x,x,x,x,2
Dr. Anthony O. Omerikwa,,,x,x,,,,x,,6
Dr. Anne W. Kimari,x,x,,,,,,,,7
Dr. Peter K. Munga,,x,,,,,,,,8
Ms. Constance Gakonyo***,,x,x,x,x,x,x,x,x,1
Mr. Robert N. Kibaara,,,,,,,,,,9
