"Board meetings
Attendance 2008",BOARD MEETINGS,Column,Column,Column,Column,Column,Column,"Total
Attendance"
Dates,26/2,29/4,20/5,2/7,22/7,21/10,2/12,
Kungu Gatabaki,√,√,√,√,√,√,√,7/7
David R. Ansell,√,√,X,X,√,√,√,5/7
Anne W. Amissabour,√,X,X,N/A,N/A,N/A,N/A,1/3
Anne K. Mugo,√,√,√,√,√,√,√,7/7
Naftali Mogere,√,√,√,√,√,X,√,6/7
Ken Wathome,√,√,X,X,√,√,N/A,4/6
Beatrice M. Sabana,√,√,√,√,X,√,√,6/7
Benson Wairegi,N/A,√,X,√,√,√,√,5/6
Frank Ireri,√,√,√,√,√,√,√,7/7
Babatunde Soyoye,N/A,N/A,N/A,N/A,√,√,X,2/3
Peter K.Munga,N/A,N/A,N/A,N/A,N/A,X,X,0/2
