Column,"US$
Shs’ 000","GBP
Shs’ 000","Euro
Shs’ 000","Total
Shs’ 000"
,"1,804,078",-,-,"1,804,078"
,"3,313,402","41,091",49,"3,354,542"
,"281,040",571,433,"282,044"
,"5,398,520","41,662",482,"5,440,664"
,"1,470,702","5,753","14,151","1,490,607"
,"3,628,227",-,-,"3,628,227"
,-,"91,313","92,589","183,902"
,"5,098,929","97,066","106,740","5,302,736"
Net financial position,"299,591","(55,404)","(106,259)","137,928"
