Details,2015,2014,%
,KShs '000',KShs '000',Change
Loans Interest Income,"7,218,269","5,814,833",24%
Investment Income,"879,867","586,696",49%
Total Interest Income,"8,098,136","6,374,782",27%
Interest Expense,"(4,486,182)","(3,340,803)",34%
Net Interest Income,"3,611,954","3,033,979",19%
Interest Margin,4.84%,4.67%,0%
Impairment Losses On Loans,"(503,771)","(551,219)",-9%
Net Interest Income After Provisions,"3,108,183","2,482,760",25%
Non Interest Income,"1,254,101","842,695",49%
Operating And Administrative Expenses,"(2,608,766)","(1,924,802)",36%
Profit Before Taxation,"1,753,518","1,400,653",25%
Taxation,"(556,548)","(425,317)",31%
Net Profit After Tax,"1,196,969","975,336",23%
Earnings Per Share,3.43,4.21,-18%
Dividends Per Share,1.30,1.50,-13%
Total Number Of Shares,"348,897","231,580",51%
