31 December 2009,"Due between Due between
Due on Due within 3 and 12 1 and 5 Due after
Demand 3 moths months years 5 years Total
KShs ‘000 KShs ‘000 KShs ‘000 KShs ‘000 KShs ‘000 KShs ‘000"
"Financial assets
Cash balances
Placements with other banks
Investment in Government securities
Net mortgage advances to customers
Total
Financial liabilities
Customer deposits
Loans from Banks
Government income notes
Total
Unrecognised mortgage commitments
At 31 December 2009","319,839 - - - - 319,839
100,092 1,293,775 712,552 - - 2,106,419
- - 9,507 500,000 - 509,507
- 370,237 713,368 2,055,344 11,356,259 14,495,208"
,"419,931 1,664,012 1,435,427 2,555,344 11,356,259 17,430,973"
,"- 5,295,805 1,447,054 3,790,230 1,686,360 12,219,449
- 700,000 - 1,000,000 - 1,700,000
- - - - 50,750 50,750"
,"- 5,995,805 1,447,054 4,790,230 1,737,110 13,970,199"
,"- 2,673,346 3,177,896 - - 5,851,242"
,"419,931 (7,005,139) (3,189,523) (2,234,886) 9,619,149 (2,390,468)"
