CONSOLIDATED STATEMENT OF CHANGES IN EQUITY,Column,Column,Column,Column,Column,Column,Column
FOR THE YEAR ENDED 31 DECEMBER 2000,,,,,,,
,,,,General,,,
,,,,reserve for,,,
,Share,Revaluation,Share,mortgage,Dividends,Retained,
,capital,reserve,premium,advances,proposed,profits,Totar
,KShs'OOO,KShs'OOO,KShs'OOO,KShs'OOO,KShs'OOO,KShs'OOO,KShs'000
Balance 1January 1999,"575,000","349,661","25,705","91,220",,"377,235","1,418,821"
Changes inaccounting,,,,,,,
policy (with respect,,,,,,,
to deferred tax),,,,,,"9,589","9,589"
Restated balances,,,,,,,
1January 1999,"575,000","349,661","25,705","91,220",,"386,824","1,428,410"
Net profit after,,,,,,,
tax for the year 1999,,,,,,"70,686","70,686"
Dividends proposed,,,,,,"(57,500)","(57,500)"
Excessdepreciation transfer,,"(2,128)",,,,"2,128",
General reserve for,,,,,,,
mortgage advances,,,,"(43,002)",,"43,002",
Balance,,,,,,,
1January 2000,"575,000","347,533","25,705","48,218",,"445,140","1,441,596"
Reclassification from,,,,,,,
payables -tocomply,,,,,,,
with policy on note 1(m),,,,,"28,750",,"28,750"
Restated balances,,,,,,,
1January 2000,"575,000","347,533","25,705","48,218","28,750","445,140","1,470,346"
Revaluation deficit,,,,,,,
- Properties,,"(150,793)",,,,,"(150,793)"
Revaluation deficit,,,,,,,
-Investment Properties,,"(7,330)",,,,,"(7,330)"
Revaluation surplus,,,,,,,
- Land bank,,"41,624",,,,,"41,624"
Net gains and losses,,,,,,,
not recognised inthe,,,,,,,
profit and lossaccount,,"(116,499)",,,,,"(116,499)"
Net profit after,,,,,,,
tax for the year 2000,,,,,,"52,223","52,223"
Dividends paid,,,,,,,
during the year,,,,,"(24,145)",,"(24,145)"
Dividends transferred,,,,,,,
to payables,,,,,"(4,605)",,"(4,605)"
Dividends proposed,,,,,"43,125","(43,125)",
General reserve for,,,,,,,
mortgage advances,,,,"7,367",,"(7,367)",
Balance,,,,,,,
31 December 2000,"575,000","231,034","25,705","55,585","43,125","446,871","1,377,320"
The consolidated statement of changes in equity is to be read in conjunction with the notes to and forming part of the financial,,,,,,,
statements set out on pages 21 to 45.,,,,,,,
,,,•,,,,
