Namb.,Maazimio :,kubali,kataa,Kutopiga
5),"Kwa mujibu wa sehemu ya vipengele nambari 769 vya sheria za makampuni
ya mwaka 2015, wakurugenzi wafuatao ambao ni wanachama wa kamati
ya halmashauri ya kundi kuhusu uhasibu na hatari wachaguliwe tena kibnafsi
ili kuendelea na jukumu la utoaji huduma kama wanachama wa
kamati iliyotajwa;-",,,
,• Bi. Felister Kembi,,,
,• Dkt. Anthony Omerikwa Opare,,,
,• Bi . Anne Kimari,,,
6),"Kupitisha ripoti ya marupurupu ya wakurugenzi kwa kipindi cha mwaka
uliomalizika Desemba 31, 2022 kama ilivyofafanuliwa kupitia ripoti
ya mwaka.",,,
7),"Kuwateua PricewaterhouseCoopers (PWC) Kenya kama wahasibu wa
kampuni kwa mujibu wa sehemu ya 721 sheria za makampuni nambari
17 ya mwaka 2015 na kuwaamuru wakurugenzi kuamua marupurupu yao
kufungamana na sehemu ya 724 ya sheria za kampuni iliyotajwa.",,,
8),"Kuzingatia na endapo itakubalika kupitisha azimio lifuatalo kama azimio
la kipekee;
KWAMBA Kwa kutegemea kupokea idhini za kisheria zinazohitajika,
wakurugenzi kwa pamoja waruhusiwe kutenga hisa mpya za kawaida za
kshs. 5 kila moja bila kupitisha asilimia 5 ( 5%) ya jumla ya hisa za mtaji wa
kampuni kwa mpango wa umiliki wa hisa kwa wafanyakazi (ESOP) kwa
mazingatio kama hayo na kwa kutegemea kanuni na masharti kama hayo
ambayo wakurugenzi wataona yanafaa.
Mamlaka iliyotolewa chini ya azimio hili itakamilika Mei 26, 2025 na
kufahamu kuwa wakurugenzi wanaweza bila kuzingatia kukamilika kwa amri
iliyotolewa kupitia azimio hili kugawa hisa za kawaida za kampuni mahali
ambapo ugawaji huo utatolewa kwa kutegemea utoaji huo au makubaliano
yaliyotolewa kabla ya muda kukamilika.",,,
