Column,"Freehold
land
Shs’000","Buildings
Shs’000","Furniture,
fixtures,
equipment &
motor vehicles
Shs’000","Total
Shs’000"
,"62,000","805,183","1,239,746","2,106,929"
,-,-,"32,409","32,409"
,-,-,(216),(216)
,-,-,"(4,488)","(4,488)"
,-,"100,000",-,"100,000"
,"62,000","905,183","1,267,451","2,234,634"
,"10,000","655,183","1,266,591","1,931,774"
,"52,000","250,000",860,"302,860"
,"62,000","905,183","1,267,451","2,234,634"
,-,"61,774","826,749","888,523"
,-,"12,258","137,904","150,162"
,-,-,(166),(166)
,-,-,"(4,489)","(4,489)"
,-,"(37,076)",-,"(37,076)"
,-,"36,956","959,998","996,954"
Net book value at end of year,"62,000","868,227","307,453","1,237,680"
