External revenues,Mortgage Lending,Column,Column,Column,Column,Column,Deposits Mobilisation,Column,Column,Column,Others,Column,Totals,Column
,Retail,,Schemes,,Projects,,Corporate,,Retail,,,,,
"Interest income
Interest expense
- Retail
- Corporate
Net Interest Income
Non interest income
Depreciation and amortisation
Reporting segment
profit/(loss) before
income tax
Loan disbursements
Loan sales
Deposits balances
Other material non
cash items
Impairment losses
on mortgage loans
Capital expenditure
Reportable segment assets
Reportable segment liabilities","2009
KShs‘000","2008
KShs‘000","2009
KShs‘000","2008
KShs‘000","2009
KShs‘000","2008
KShs‘000","2009
KShs‘000","2008
KShs‘000","2009
KShs‘000","2008
KShs‘000","2009
KShs‘000","2008
KShs‘000","2009
KShs‘000","2008
KShs‘000"
,"1,015,528
-
-
1,015,528
70,417
-
283,338
2,957,978
4,522,646
-
186,277
-
7,077,769
-","753,876
-
-
753,876
66,697
-
156,670
2,449,490
2,767,950
-
89,050
-
5,176,450
-","358,423
-
(43,416)
315,007
-
-
82,215
1,299,051
1,842,952
1,686,360
10,265
-
4,197,202
1,686,360","234,821
-
(41,202)
193,619
-
-
37,067
1,014,666
1,333,625
1,333,163
7,276
-
3,031,494
1,333,163","182,911
-
(1,982)
180,929
15,655
-
51,307
2,092,756
3,443,405
178,247
28,945
-
2,033,639
178,247","96,909
-
-
96,909
8,294
-
20,140
1,009,965
1,624,462
-
2,421
-
1,008,732
-","247,260
-
(328,850)
(81,590)
-
-
(21,295)
-
-
4,139,045
-
-
2,935,764
4,139,045","233,671
-
(236,518)
(2,847)
-
-
(545)
-
-
3,351,740
-
-
3,251,077
3,351,740","-
(197,423)
-
(197,423)
72,424
-
(32,624)
-
-
6,230,993
-
-
-
6,230,993","-
(162,142)
-
(162,142)
74,757
-
(16,729)
-
-
5,403,894
-
-
-
5,403,894","-
-
(85,010)
(85,010)
50,275
(42,377)
(9,066)
-
-
-
-
11,801
2,036,387
2,012,635","-
-
(48,828)
(48,828)
44,668
(54,926)
(797)
-
-
-
-
19,598
1,862,742
626,142","1,804,122
(197,423)
(459,258)
1,147,441
208,771
(42,377)
353,875
6,349,785
9,809,003
12,234,645
225,487
11,801
18,280,761
14,247,280","1,319,277
(162,142)
(326,548)
830,587
194,416
(54,926)
195,806
4,474,121
5,726,037
10,088,797
98,747
19,598
14,330,495
10,714,939"
