"Item
No.",Resolutions:,For,Against,Withheld
1),"To receive and, if approved, adopt the audited Balance Sheet and Accounts for the
year ended 31 December 2024, together with the Chairman’s, the Directors’ and
Auditor’s Reports thereon.",,,
2),"In accordance with Article 105 of the Company’s Articles of Association the following
Directors retire by rotation and being eligible, offer themselves for re-election.",,,
,• Ms. Felister Kembi,,,
,• Dr. Peter Kahara Munga,,,
,• Dr. Anne Kimari,,,
3),"Prof Olive Mugenda, having attained the age of seventy years retires in accordance
with the Code of Corporate Governance Practices for Issuers of Securities to the
Public 2015 and being eligible, offers herself for re-election.",,,
4),"In accordance with the provisions of Section 769 of the Companies Act, 2015 the
following Directors, being members of the Group Board Audit & Risk Committee be
elected individually to continue to serve as members of the said Committee:-",,,
,• Ms. Felister W. Kembi,,,
,• Dr. Anne W. Kimari,,,
5),"To approve the Directors Remuneration Report as detailed in the Annual Report for
the year ended 31st December 2024.",,,
6),"To appoint PricewaterhouseCoopers (PWC) Kenya as the auditors of the Company
in accordance with Sections 721 of the Companies Act, No. 17 of 2015 and to
authorize the Directors to fix the remuneration of the auditors in terms of section 724
of the said Companies Act.",,,
