Stakeholder Engagement Summary,Column,Column
"We performed a stakeholder analysis for the 2019 report and identified five key stakeholder groups i.e., employees, shareholders,
customers, regulators, and communities.
For the 2020 report we reviewed how the pandemic affected our engagement with communities as well as how our real-estate
developments are done solely on a financing and join-venture basis thus reducing our presence in project locations.
It is in this environment that we learned to appreciate the challenging tasks of ensuring supply in a disrupted context and thus elevating
the importance of having a sustainable supply chain in our stakeholder dialogue. This dialogue is summarized below;",,
Stakeholders,Channel,Key concerns
Employees,"Quarterly reviews
Day to day interactions","Well-being
Equity and fairness
Ethics"
Shareholders,"Annual General Meetings
Individual investor meetings","Financial performance
Learning and sharing insight
Industry development
R&D to drive motivation"
Customers,"Customer surveys
Day to day interactions
Digital banking and feedback contact
center
Ratings and benchmarks","Convenient products and services
Financial performance"
"Regulators
Capital Markets Authority (CMA)
Kenya Revenue Authority (KRA)
Central Bank of Kenya (CBK)
Kenya Bankers Association (KBA)","Compliance report
Annual reports and financial statements","Compliance and engagement at group
level"
Suppliers,"Contracts and contract reviews
Day to day interactions","Compliance with social and environmental
guidelines and code of ethics"
