ASSETS,Column,Column,Column
Cash and bank balances,,"282,996","212,177"
Depositsand balances due from banking institutions,11,"717,102","936,000"
InvestmentsinGovernment Securities,12,"1,432,804","710,923"
Mortgage advances to customers,13{a),"9,492,869","9,554,015"
Interestreceivable,,"30,870","34,072"
Investmentsin subsidiaries,14,"55,020","55,020"
Dividend receivable,,"15,000","15,000"
Amounts due fromgroup companies,16,"253,547","254,562"
Other assets,,"192,197","262,698"
Property and equipment,19{b),"385,628","538,847"
Deferred tax,15{b),"8,726","5,657"
Taxation,,,"44,076"
TOTAL ASSETS,,"12,866,759","12,623,047"
LIABILITIES,,,
Customers' deposits,21,"11,035,382","10,708,655"
Interestpayable,,"116,093","179,195"
Taxpayable,,"21,580",
Other liabilities,,"168,228","170,380"
Retirementbenefits obligations,22,"11,141",
Dividends payable,,"95,634","91,029"
,,"11,448,058","11,149,259"
