US$,GBP,Euro,Total
Shs’ 000,Shs’ 000,Shs’ 000,Shs’ 000
"1,471,415","18,476","11,899","1,501,790"
"3,759,220","37,033",317,"3,796,570"
"47,891","12,308",426,"60,625"
"5,278,526","67,817","12,642","5,358,985"
"1,477,574","10,562","18,590","1,506,726"
"2,242,344",-,-,"2,242,344"
"1,375,321","100,517","3,997","1,479,835"
"5,095,239","111,079","22,587","5,228,905"
"183,287","(43,261)","(9,945)","130,081"
