"2020
Shs’000"
"4,265,509"
"(2,399,249)"
"1,866,260"
"(405,069)"
"1,461,191"
"256,922"
"170,274"
"85,270"
"1,973,657"
"(1,227,163)"
"(500,392)"
"(1,925,851)"
"(96,133)"
"(1,775,882)"
"69,019"
"(1,706,863)"
"137,076"
"(6,854)"
"130,222"
"(75,772)"
"22,732"
"(53,040)"
"(1,629,681)"
(4.44)
