Column,Column,Bank,Column,Group Consolidated,Column
,,31.12.2017,31.12.2018,31.12.2017,31.12.2018
II,STATEMENT OF COMPREHENSIVE INCOME,Audited,Audited,Audited,Audited
,FOR THE PERIOD ENDED 31 DECEMBER 2018,(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000)
,,,"5,661,554",,"5,661,554"
,,,"338,823",,"338,823"
,,,"45,144",,"45,144"
,,,-,,-
,,,"6,045,521",,"6,045,521"
,,,"2,173,142",,"2,173,142"
,,,"126,790",,"126,790"
,,,"1,311,822",,"1,479,916"
,,,"3,611,754",,"3,779,848"
,,,"2,433,767",,"2,265,673"
,,,"62,953",,"62,953"
,,,"112,045",,"151,772"
,,,"38,173",,"38,173"
,,,-,,-
,,,"89,707",,"1,066,159"
,,,"302,878",,"1,319,057"
,,,"2,736,645",,"3,584,730"
,,,"375,908",,"375,908"
,,,"929,804",,"1,227,078"
,,,"7,998",,"8,420"
,,,"114,875",,"155,526"
,,,"165,724",,"181,799"
,,,"199,982",,"199,982"
,,,"1,337,633",,"2,087,702"
,,,"3,131,924",,"4,236,415"
,,,"(395,279)",,"(651,685)"
,,,"13,555",,"8,941"
,,,"(381,724)",,"(642,744)"
,,,"(13,134)",,"(13,623)"
,,,"(33,967)",,"58,149"
,,,"(428,825)",,"(598,218)"
,,,-,,-
,,,"60,379",,"60,379"
,,,860,,860
,,,-,,-
,,,"(18,114)",,"(18,114)"
,,,"43,125",,"43,125"
,,,"(385,700)",,"(555,093)"
,,,(85.77),,(1.56)
,,,25.00,,-
