"Board meetings attendance for the year
ended 31 December 2020",Board meetings,Column,Column,Column,Column,Total attendance
Date,"09-
Mar","06-
May","29 -
July","06-
Nov","24-
Nov",
*Steve Mainda,ü,ü,,,,2
Benson Wairegi,ü,ü,ü,ü,ü,5
Constance Gakonyo,ü,ü,ü,ü,ü,5
Peter Munga,ü,ü,ü,,,3
Kaushik Manek,ü,ü,ü,ü,ü,5
Robert Kibaara,ü,ü,ü,ü,ü,5
Gladys Karuri,ü,ü,ü,ü,ü,5
Felister Kembi,ü,ü,ü,ü,ü,5
Adan Mohamed,ü,ü,ü,ü,ü,5
