"Year ended
31 December
2024",Column,Column,Column,Column,Column,Column
"Net re-
measurement of
loss allowance","576,509","(15,982)",392,"(23,145)","28,712","566,486"
"New financial
assets originated
or purchased","37,432",-,-,-,-,"37,432"
"Financial assets
derecognized","(267,197)",-,-,-,-,"(267,197)"
Write-offs,"17,716",-,-,-,-,"17,716"
,"364,460","(15,982)",392,"(23,145)","28,712","354,437"
