Column,Stage 1,Stage 2,Stage 3,Total
,"12-month
ECL","Lifetime ECL Not
credit impaired",Lifetime ECL,
,Shs’000,Shs’000,Shs’000,Shs’000
,"84,571","399,871","2,943,618","3,428,060"
"Transfer to 12 months ECL
Transfer to lifetime ECL not credit impaired
Transfer to lifetime ECL credit impaired
Net remeasurement of loss allowance
Net financial assets originated
Financial assets derecognised","3,912","(2,017)","(1,895)",-
,"(16,562)","18,411","(1,849)",-
,"(45,119)","(124,591)","169,710",-
,"34,933","(19,370)","213,273","228,836"
,"64,702","89,461","18,417","172,580"
,"(23,467)","(61,789)","(312,531)","(397,787)"
,"102,970","299,976","3,028,743","3,431,689"
