"June-22
Sh' 000","June-21
Sh' 000"
"3 3,815,868
2,033,605","3 2,197,669
2,443,441"
"3 5,849,473","3 4,641,110"
"1,098,000
2 0,483,291","1,098,000
1 9,914,124"
"2 1,581,291
19,615
1 4,248,567","2 1,012,124
447,786
1 3,181,200"
"1 4,268,182","1 3,628,986"
"3 5,849,473","3 4,641,110"
