Column,"Gross Carrying
Amount","Loss
Rates","Loss
Allowance","Net Carrying
Amount"
At 30th June 2021 – Group,Kes’000,,Kes’000,Kes’000
Aged debtor balances,,,,
Current,"17,350",68%,"(11,723)","5,627"
16 to 30 days,"6,090",16%,"(1,003)","5,087"
31 to 60 days,"5,467",57%,"(3,111)","2,356"
61 to 90 days,"23,007",90%,"(20,633)","2,374"
Over 90 days,"361,938",91%,"(330,881)","31,057"
,"___________
413,852
___________
___________",,"___________
(367,351)
___________
___________","___________
46,501
___________
___________"
