Group and Company,Column
2024,2023
Shs’000,Shs’000
"11,900","6,726"
-,"5,174"
"11,900","11,900"
"(7,132)","(1,456)"
"(1,139)","(5,676)"
"(8,271)","(7,132)"
"3,629","4,768"
