"422,251","458,877","418,435","453,750"
"948,307
136,347
40,582
127
8,967
57,884
50,387
10,906
6,608
10,579
10,527
11,297
74,588
11,278
71,774","871,503
127,704
40,580
57
39,185
50,347
39,185
22,505
4,498
13,316
12,033
11,396
35,264
12,409
52,316","935,032
136,347
40,582
127
8,150
55,920
43,913
10,285
6,608
10,579
10,404
11,297
74,588
11,278
71,389","865,681
127,704
40,580
57
38,835
46,482
29,172
22,153
4,498
13,316
11,999
11,396
35,264
12,409
40,323"
"1,450,158","1,332,298","1,426,499","1,299,869"
"103,267
3,407
1,794
19,803
10,435
7,130
50,060
-
17,473","114,434
2,859
1,581
13,497
4,664
6,200
-
4,778
92,348","100,331
3,407
1,794
19,246
7,738
6,456
50,060
-
17,473","108,976
2,859
1,581
12,676
4,664
5,587
-
4,778
66,238"
