Column,"Gross carrying
amount","Loss
allowance","Net carrying
amount"
At 30th June 2022 – Company,Kes’000,Kes’000,Kes’000
Trade receivables (Note 23),"793,522","(763,888)","29,634"
Other receivables. (Note 23),"453,094","(430,571)","22,523"
Due from related parties (Note 23 &34(iii)),"916,141","(227,833)","688,308"
Cash at bank balances (Note 21),"26,844",-,"26,844"
Exposure to credit risk,"___________
2,189,601
___________
___________","___________
(1,422,292)
___________
___________","___________
767,309
___________
___________"
At 30th June 2021 – Company,,,
Trade receivables (Note 23),"781,041","(725,799)","55,242"
Other receivables (Note 23),"535,582","(430,571)","105,011"
Due from related parties (Note 34(iii)),"1,416,141","(320,471)","1,095,670"
Cash at bank balances (Note 21),"17,420",-,"17,420"
Exposure to credit risk,"___________
2,750,184
___________
___________","___________
(1,476,841)
___________
___________","___________
1,273,343
___________
___________"
