Director,Board Schedule,Board (special),82 AGM
Chairman – Edwin Kinyua,4,18,1
Managing Director,4,7,1
CS Treasury or his alternate,4,14,1
"PS Ministry of Industry, Trade & Co-operatives",4,11,1
NSSF,4,14,1
Kung’u Gatabaki,4,18,1
Professor Sarone ole Sena,4,8,1
Company Secretary,4,19,1
