1 July 2010,Statement of comprehensive income,At 30 June 2011
KShs’000,KShs’000,KShs’000
"1,627,375","(301,531)","1,325,844"
-,"559,538","559,538"
"1,627,375","258,007","1,885,382"
"(309,773)","(260,600)","(570,373)"
"(6,518)","6,518",-
"(21,969)",(591),"(22,560)"
"(131,238)","(24,020)","(155,258)"
"(22,198)","(1,123)","(23,321)"
-,"(14,305)","(14,305)"
-,"(15,068)","(15,068)"
-,"(16,636)","(16,636)"
-,"(10,916)","(10,916)"
"(135,959)","(49,388)","(185,347)"
"(627,655)","(386,129)","(1,013,784)"
"999,720","(128,122)","871,598"
