Category No of Shares Shares Held Percentage
"1-1,000 1,003 304,495 0 .34
1,001-5,000 234 564,708 0 .63
5,001-10,000 43 308,860 0 .34
10,000-50,000 30 608,111 0 .68
50,001-100,000 4 270,662 0 .30
Over 100,000 13 87,943,164 9 7.71"
"Total 1 ,327 9 0,000,000 100.00"
