Director,Board Schedule,Board (special),EGM
Chairman – Edwin Kinyua,4,45,1
Managing Director,4,50,1
CS Treasury or his alternate,4,29,1
"PS Ministry of Industry, Trade & Enterprise development",4,15,1
NSSF,4,19,1
Kungu Gatabaki,4,50,1
Professor Sarone ole Sena,4,46,1
Company Secretary,4,50,1
