Director,Audit,Finance,"HR &
Remuneration"
Number of meetings,5,2,4
CS Treasury / Alternate,5,1,0
"PS Ministry of Industry, Trade
& Co-operatives",0,2,2
NSSF,5,2,4
MD,0,2,4
Kungu Gatabaki,5,2,0
Prof. Sarone ole Sena,5,0,4
Company Secretary,5,2,4
