Group,Column,Company,Column
2024,2023,2024,2023
Shs’000,Shs’000,Shs’000,Shs’000
"1,071,546","(1,352,115)","1,161,025","(1,352,115)"
"343,192","407,163","343,192","407,163"
"12,879","17,257","12,879","17,257"
-,-,-,-
"1,139","5,676","1,139","5,676"
"(3,033,462)","(644,506)","(3,033,462)","(644,506)"
-,-,-,-
"207,474","52,310","207,474","52,310"
427,"3,315",427,"3,315"
"(1,396,805)","(1,510,900)","(1,307,326)","(1,510,900)"
"(297,454)","50,489","(294,412)","49,934"
"(2,391,216)","288,406","(2,347,613)","225,666"
"1,079,349","1,159,278","982,889","1,158,660"
"(3,006,126)","(12,727)","(2,966,462)","(76,640)"
