"GROUP COMPANY
2016 2015 2016 2015
KShs’000 KShs’000 KShs’000 KShs’000",Column,Column,Column
"1,544,106
305,706
(325,944)","2,009,187
(174,834)
(290,247)","1,544,106
305,706
(325,944)","2,009,187
(174,834)
(290,247)"
"1,523,868","1,544,106","1,523,868","1,544,106"
"(326,205)
268,645","(228,626)
171,391","(326,205)
268,645","(228,626)
171,391"
"(383,504)","(347,482)","(383,504)","(347,482)"
"1,464,754
323,636
(425,324)","597,336
1,083,751
(216,333)","1,464,754
323,636
(425,324)","597,336
1,083,751
(216,333)"
"1,363,066","1,464,754","1,363,066","1,464,754"
"300,906
700,288
(1,001,194)","324,274
300,906
(324,274)","300,906
700,288
(1,001,194)","324,274
300,906
(324,274)"
-,"300,906",-,"300,906"
"5,102
18,986
(4,811)","8,564
17,460
(5,102)","5,102
18,986
(4,811)","8,564
17,46
(5,102)"
"19,277
140,868
237,039
3,879
69,916","20,922
156,546
105,706
4,525
63,574","19,277
140,868
237,039
3,879
69,916","20,922
156,546
105,706
4,525
63,574"
"470,979","351,273","470,979","351,273"
