Column,"Audit
committee","Finance &
Strategy
Committee","Technical
Committee","HR &
Remuneration
Committee"
Chairman – Brig. (Rtd) Richard K. Mbithi,-,-,-,-
CS Treasury / Alternate,4,8,6,-
"PS Ministry of Investments, Trade & Industry",4,5,-,8
David Koross,4,-,6,-
Managing Director,3,8,6,8
Kungu Gatabaki,-,8,6,8
Patrick Koinari Ole Tutui,-,8,8,8
Prof. Sarone Ole Sena,4,-,5,7
Company Secretary,4,8,6,8
