"Share
capital","Share
premium","Asset
revaluation
reserve","Retained
Earnings","Foreign
currency transla-
tion reserve",Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"450,000","648,000","1,261,760","3,341,441",-,"5,701,201"
-,-,"(18,339)","18,339",-,-
-,-,"(1,374)","1,374",-,-
-,-,-,"1,717",-,"1,717"
-,-,-,-,-,-
"450,000","648,000","1,242,047","3,362,871",-,"5,702,918"
"450,000","648,000","1,242,047","3,362,871",-,"5,702,918"
-,-,"(12,079)","12,079",-,-
-,-,"(19,684)","19,684",-,-
-,-,-,"(45,000)",-,"(45,000)"
-,-,-,"(821,486)",-,"(821,486)"
-,-,-,-,"2,958","2,958"
"450,000","648,000","1,210,284","2,528,148","2,958","4,839,390"
