"2014
KShs’000",Column,"2014
KShs’000"
"1,313,116
720,666
38,287
53,075",,"1,313,116
717,763
38,287
53,075"
"2,125,144","1,944,894","2,122,241"
,,"GROUP AN
2014
KShs’000
111,497
-
(81,497)
(30,000)"
,,-
,,"36,385
(36,385)"
,,-
,,-
