Column,Column,2017
KShs’ 000,,KShs’ 000
Effect on,,Effect
profit,,on profit
,"14,024
(14,024)",
"13,715",,"7,043"
"(13,715)",,"(7,043)"
,"42,247
(42,247)",
"42,247",,"64,247"
"(42,247)",,"(64,247)"
,"23,774
(23,774)",
"23,774",,"14,248"
"(23,774)",,"(14,248)"
