"Freehold
land",Buildings,"Plant and
machinery","Motor
Vehicles","Computers,
office
equipment
and Fittings","Capital
Work in
progress",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"362,000","1,265,602","6,314,511","353,888","58,436","172,418","8,526,855"
-,"(63,108)","(844,216)","(123,434)","(20,350)",-,"(1,051,108)"
"362,000","1,202,494","5,470,295","230,454","38,086","172,418","7,475,747"
"362,000","1,202,494","5,470,295","230,454","38,086","172,418","7,475,747"
-,-,-,-,"6,289",-,"6,289"
-,-,-,"(5,788)",-,-,"(5,788)"
-,"(31,640)","(424,984)","(62,669)","(14,465)",-,"(533,758)"
-,-,-,"4,204",-,-,"4,204"
-,-,-,-,-,"(15,397)","(15,397)"
"362,000","1,170,854","5,045,311","166,201","29,910","157,021","6,931,297"
"362,000","1,265,602","6,314,511","348,100","64,725","157,021","8,511,959"
-,"(94,748)","(1,269,200)","(181,899)","(34,815)",-,"(1,580,662)"
"362,000","1,170,854","5,045,311","166,201","29,910","157,021","6,931,297"
"362,000","1,170,854","5,045,311","166,201","29,910","157,021","6,931,297"
-,-,"91,299","2,997","2,266",-,"96,562"
"1,000","(307,602)","(1,344,583)","(48,732)","(41,348)",-,"(1,741,265)"
-,"(31,640)","(427,745)","(62,680)","(16,086)",-,"(538,151)"
-,"126,388","1,696,945","244,579","50,887",-,"2,118,799"
"363,000","958,000","5,061,227","302,365","25,629","157,021","6,867,242"
"363,000","958,000","5,061,227","302,365","25,629","157,021","6,867,242"
-,-,-,-,-,-,-
"363,000","958,000","5,061,227","302,365","25,629","157,021","6,867,242"
