GROUP,COMPANY,GROUP AND COMPANY
2011,2012,2011
KShs’000,KShs’000,KShs’000
-,"1,000,000",-
"134,111","134,111",-
"1,260","1,260","1,260"
"12,056","12,056","13,547"
"13,316","13,316","14,807"
"30,115","30,115","28,074"
"9,999","9,999","12,987"
"6,278","6,278","3,831"
"46,392","46,392","44,892"
"86,236","86,236","93,081"
"(1,131)","(1,131)",(506)
-,-,"(6,840)"
"2,184","2,184",501
"87,289","87,289","86,236"
"1,131","1,131",506
-,-,"6,840"
"1,131","1,131","7,346"
"(29,324)","(29,324)","(128,122)"
"(28,193)","(28,193)","(120,776)"
"(849,679)","(769,487)","(119,059)"
"(254,904)","(230,846)","(35,718)"
"358,895","334,838","487,530"
"(132,184)","(132,184)","(579,428)"
-,-,"6,840"
"(28,193)","(28,193)","(120,776)"
