Director,"Board
(scheduled)","Board
(Special)","79th
AGM"
Chairman,5,10,1
Managing Director,5,8,1
PS Treasury,5,6,1
PS Ministry of Industrialization,5,7,1
NSSF,4,8,1
Dr. T. Naikuni,5,10,1
Mr. K. H. W. Keith,4,10,1
Mr. J. L. G. Maonga,5,10,1
