Director,Audit,Finance,"HR &
Remuneration"
Number of meetings,,,
CS Treasury / Alternate,5,1,-
"PS Ministry of Industry,
Trade & Co-operatives",-,1,3
NSSF,5,1,3
MD,-,1,3
Kungu Gatabaki,5,1,-
Prof. Sarone ole Sena,4,-,3
Company Secretary,5,1,3
