"450,000","648,000","1,093,293","1,835,456","4,026,749"
-,-,"240,071","1,834,054","2,074,125"
-,-,"(47,602)","47,602",-
-,-,"14,281",-,"14,281"
-,-,"(5,893)","5,893",-
-,-,"1,768",-,"1,768"
-,-,"(14,671)",-,"(14,671)"
"450,000","648,000","1,281,247","3,723,005","6,102,252"
"450,000","648,000","1,281,247","3,723,005","6,102,252"
-,-,"(26,198)","26,198",-
-,-,"7,859",-,"7,859"
-,-,(495),495,-
-,-,149,-,149
-,-,"(1,145)","1,145",-
-,-,343,-,343
-,-,-,"(292,402)","(292,402)"
-,-,-,"(117,000)","(117,000)"
"450,000","648,000","1,261,760","3,341,441","5,701,201"
