Group and Company,Column
2023,2022
Shs’000,Shs’000
"35,868","53,751"
-,-
"(17,257)","(17,883)"
"18,611","35,868"
"4,875","4,875"
___________,___________
"____2__3_,4__8_6_","____4__0_,_7_4_3_"
