S/N Name,Salary,Fees,Bonuses,"Expenses
Allowances","Loss of Office/
Termination","Estimated
Value of
Non cash
Benefits",Total
,Shs ‘000’,Shs ‘000’,Shs ‘000’,Shs ‘000’,Shs ‘000’,Shs ‘000’,Shs ‘000’
1 Simon Peter Ole Nkeri,"11,372",-,-,"2,128",-,-,"13,500"
2 Edwin Kinyua,-,300,-,"4,704",-,-,"5,004"
3 Kungu Gatabaki,-,160,-,"2,215",-,-,"2,375"
4 Dr. Anthony Omerikwa,-,160,-,729,-,-,889
5 Prof. Sarone Ole Sena,-,160,-,"2,313",-,-,"2,473"
6 Betty Maina,-,160,-,471,-,-,631
7 Humphrey Muhu,-,160,-,"1,762",-,-,"1,922"
8 Moses Cheseto,-,-,-,557,-,-,557
9 Charles Mahinda,-,-,-,"1,050",-,-,"1,050"
Totals,"11,372","1,100",-,"15,929",-,-,"28,401"
