GROUP,COMPANY,GROUP AND COMPANY
2012,2012,2011
KShs’000,KShs’000,KShs’000
"148,529","148,231",
"84,094","81,893",
"23,894","23,894",
-,-,
"17,404","16,412",
"13,053","13,053",
"95,354","93,537",
"382,328","377,020",
