Company,Column
2023,2022
Shs’000,Shs’000
"19,253,086","22,558,714"
_________,_________
"1,942,945","3,805,905"
"35,159","43,861"
"(66,413)","(25,821)"
_________,_________
"1,911,691","3,823,945"
_________,_________
10%,17%
_________,_________
