"Share
Capital","Share
Premium","asset
revaluation
reserves","Retained
earnings","Other
reserves",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"450,000","648,000","1,031,948","19,149,608","301,735","21,581,291"
-,-,"(364,948)","364,948",-,-
-,-,"109,484","(109,484)",-,-
-,-,"(960,784)",-,-,"(960,784)"
-,-,"288,235","(288,235)",-,-
-,-,-,"(1,356,467)",-,"(1,356,467)"
-,-,-,-,"(49,777)","(49,777)"
-,-,"(928,013)","(1,389,238)","(49,777)","(2,367,028)"
___________,___________,___________,___________,___________,___________
"___4_5_0__,0__0_0_","__6_4_8__,0__0_0_","__1_0__3_,_9_3_5_","_1_7_,_7_6_0_,_3_7_0_","__2_5_1_,9__5_8_","1_9_,2__1_4_,_2_6_3_"
