Column,Column,Asset,Column,Column
"Share
capital","Share
premium","revaluation
reserve","Retained
Earnings",Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"450,000","648,000","1,281,247","3,723,005","6,102,252"
-,-,"(18,339)","18,339",-
-,-,(346),346,-
-,-,(802),802,-
-,-,-,"(284,051)","(284,051)"
-,-,-,-,-
-,-,-,"(117,000)","(117,000)"
"450,000","648,000","1,261,760","3,341,441","5,701,201"
"450,000","648,000","1,261,760","3,341,441","5,701,201"
-,-,"(18,339)","18,339",-
-,-,"(1,374)","1,374",-
-,-,"(1,276)","1,276",-
-,-,-,"561,255","561,255"
-,-,-,-,-
"450,000","648,000","1,240,771","3,923,685","6,262,456"
