"Gross carrying
amount","Loss
allowance","Net carrying
amount"
Shs’000,Shs’000,Shs’000
"20,476","(14,103)","6,373"
"7,187","(1,206)","5,981"
"6,452","(3,743)","2,709"
"27,152","(24,821)","2,331"
"427,148","(398,041)","29,107"
"488,415","(441,914)","46,501"
"19,591","(14,511)","5,080"
"6,876","(1,241)","5,635"
"6,173","(3,851)","2,322"
"25,978","(25,539)",439
"369,288","(367,187)","2,101"
"427,906","(412,329)","15,577"
"11,610",(426),"11,184"
"4,930","(1,189)","3,741"
"5,133","(3,688)","1,445"
"5,231","(3,241)","1,990"
"419,639","(382,757)","36,882"
"446,543","(391,301)","55,242"
"10,968",(446),"10,522"
"4,657","(1,246)","3,411"
"4,849","(3,864)",985
"4,942","(3,395)","1,547"
"352,952","(352,765)",187
"378,368","(361,716)","16,652"
